50-12
0_0_1 0_1_1 0_2_1 0_3_1 0_4_1 0_5_1 0_6_1 0_7_1 0_8_1 0_9_1 0_10_1 0_11_1 
35_0_0 35_1_0 35_2_0 35_3_0 35_4_1 35_5_1 35_6_1 35_7_1 35_8_1 35_9_1 35_10_1 35_11_1 
36_0_0 36_1_0 36_2_0 36_3_0 36_4_1 36_5_1 36_6_1 36_7_1 36_8_1 36_9_1 36_10_1 36_11_1 
37_0_0 37_1_0 37_2_0 37_3_0 37_4_1 37_5_1 37_6_1 37_7_1 37_8_1 37_9_1 37_10_1 37_11_1 
38_0_0 38_1_0 38_2_0 38_3_0 38_4_1 38_5_1 38_6_1 38_7_1 38_8_1 38_9_1 38_10_1 38_11_1 
39_0_0 39_1_0 39_2_0 39_3_0 39_4_1 39_5_1 39_6_1 39_7_1 39_8_1 39_9_1 39_10_1 39_11_1 
40_0_0 40_1_0 40_2_0 40_3_0 40_4_1 40_5_1 40_6_1 40_7_1 40_8_1 40_9_1 40_10_1 40_11_1 
41_0_0 41_1_0 41_2_0 41_3_1 41_4_1 41_5_1 41_6_1 41_7_1 41_8_1 41_9_1 41_10_1 41_11_1 
42_0_0 42_1_0 42_2_0 42_3_1 42_4_1 42_5_1 42_6_1 42_7_1 42_8_1 42_9_1 42_10_1 42_11_1 
43_0_0 43_1_0 43_2_0 43_3_1 43_4_1 43_5_1 43_6_1 43_7_1 43_8_1 43_9_1 43_10_1 43_11_1 
44_0_0 44_1_0 44_2_1 44_3_1 44_4_1 44_5_1 44_6_1 44_7_1 44_8_1 44_9_1 44_10_1 44_11_1 
45_0_0 45_1_0 45_2_1 45_3_1 45_4_1 45_5_1 45_6_1 45_7_1 45_8_1 45_9_1 45_10_1 45_11_1 
46_0_0 46_1_0 46_2_7 46_3_1 46_4_1 46_5_1 46_6_1 46_7_1 46_8_1 46_9_1 46_10_1 46_11_1 
47_0_0 47_1_0 47_2_1 47_3_1 47_4_1 47_5_1 47_6_1 47_7_1 47_8_1 47_9_1 47_10_1 47_11_1 
48_0_1 48_1_1 48_2_1 48_3_1 48_4_1 48_5_1 48_6_1 48_7_1 48_8_1 48_9_1 48_10_1 48_11_1 
49_0_1 49_1_1 49_2_1 49_3_1 49_4_1 49_5_1 49_6_1 49_7_1 49_8_1 49_9_1 49_10_1 49_11_1 
