30-16
0_0_0 0_1_0 0_2_0 0_3_0 0_4_0 0_5_0 0_6_1 0_7_0 0_8_0 0_9_0 0_10_0 0_11_0 0_12_0 0_13_0 0_14_0 0_15_0 
11_0_0 11_1_0 11_2_0 11_3_2 11_4_0 11_5_0 11_6_1 11_7_0 11_8_0 11_9_0 11_10_0 11_11_0 11_12_0 11_13_0 11_14_0 11_15_0 
12_0_0 12_1_0 12_2_0 12_3_0 12_4_0 12_5_0 12_6_1 12_7_0 12_8_0 12_9_0 12_10_0 12_11_0 12_12_0 12_13_0 12_14_0 12_15_0 
13_0_0 13_1_0 13_2_0 13_3_0 13_4_0 13_5_0 13_6_1 13_7_0 13_8_0 13_9_0 13_10_0 13_11_0 13_12_0 13_13_0 13_14_0 13_15_0 
14_0_0 14_1_0 14_2_0 14_3_0 14_4_0 14_5_0 14_6_1 14_7_0 14_8_0 14_9_0 14_10_0 14_11_0 14_12_0 14_13_0 14_14_0 14_15_0 
15_0_0 15_1_0 15_2_0 15_3_0 15_4_2 15_5_0 15_6_1 15_7_0 15_8_0 15_9_0 15_10_0 15_11_0 15_12_0 15_13_0 15_14_0 15_15_0 
16_0_0 16_1_0 16_2_0 16_3_0 16_4_2 16_5_0 16_6_1 16_7_0 16_8_0 16_9_0 16_10_0 16_11_0 16_12_0 16_13_0 16_14_0 16_15_0 
17_0_0 17_1_0 17_2_0 17_3_0 17_4_0 17_5_0 17_6_1 17_7_0 17_8_0 17_9_0 17_10_0 17_11_0 17_12_0 17_13_0 17_14_0 17_15_0 
18_0_0 18_1_0 18_2_2 18_3_0 18_4_0 18_5_0 18_6_1 18_7_0 18_8_0 18_9_0 18_10_0 18_11_0 18_12_0 18_13_0 18_14_0 18_15_0 
19_0_0 19_1_0 19_2_2 19_3_0 19_4_0 19_5_0 19_6_1 19_7_0 19_8_0 19_9_0 19_10_0 19_11_0 19_12_0 19_13_0 19_14_0 19_15_0 
20_0_0 20_1_0 20_2_0 20_3_0 20_4_0 20_5_0 20_6_1 20_7_0 20_8_0 20_9_0 20_10_0 20_11_0 20_12_0 20_13_0 20_14_0 20_15_0 
21_0_0 21_1_0 21_2_0 21_3_0 21_4_0 21_5_0 21_6_1 21_7_0 21_8_0 21_9_0 21_10_0 21_11_0 21_12_0 21_13_0 21_14_0 21_15_0 
22_0_0 22_1_2 22_2_0 22_3_0 22_4_0 22_5_0 22_6_1 22_7_0 22_8_0 22_9_0 22_10_0 22_11_0 22_12_0 22_13_0 22_14_0 22_15_0 
23_0_0 23_1_2 23_2_0 23_3_0 23_4_0 23_5_0 23_6_1 23_7_0 23_8_0 23_9_0 23_10_0 23_11_0 23_12_0 23_13_0 23_14_0 23_15_0 
24_0_0 24_1_0 24_2_0 24_3_0 24_4_0 24_5_0 24_6_1 24_7_0 24_8_0 24_9_0 24_10_0 24_11_0 24_12_0 24_13_0 24_14_0 24_15_0 
25_0_0 25_1_0 25_2_0 25_3_0 25_4_0 25_5_0 25_6_0 25_7_0 25_8_0 25_9_0 25_10_0 25_11_0 25_12_0 25_13_0 25_14_0 25_15_0 
26_0_0 26_1_0 26_2_0 26_3_0 26_4_0 26_5_0 26_6_0 26_7_0 26_8_0 26_9_0 26_10_0 26_11_0 26_12_0 26_13_0 26_14_0 26_15_0 
27_0_0 27_1_0 27_2_0 27_3_0 27_4_0 27_5_0 27_6_0 27_7_0 27_8_0 27_9_0 27_10_0 27_11_0 27_12_0 27_13_0 27_14_0 27_15_0 
28_0_0 28_1_0 28_2_0 28_3_0 28_4_0 28_5_0 28_6_0 28_7_0 28_8_0 28_9_0 28_10_0 28_11_0 28_12_0 28_13_0 28_14_0 28_15_0 
29_0_0 29_1_0 29_2_0 29_3_0 29_4_0 29_5_0 29_6_0 29_7_0 29_8_0 29_9_0 29_10_0 29_11_0 29_12_0 29_13_0 29_14_0 29_15_0 
